dataset,group,group_color,modality,dotpath,unit,value
friends,Neuroimaging,#4472C4,fMRI,neuroimaging.fmri.total_h,h,368.0
friends,Neuroimaging,#4472C4,EEG,neuroimaging.eeg.total_h,h,
friends,Neuroimaging,#4472C4,MEG,neuroimaging.meg.total_h,h,
friends,Neuroimaging,#4472C4,iEEG,neuroimaging.ieeg.total_h,h,
friends,Neuroimaging,#4472C4,Ca²⁺,neuroimaging.calcium_imaging.total_h,h,
friends,Tasks,#538135,Images,tasks.images.total_unique,#img,
friends,Tasks,#538135,Video,tasks.video.total_unique,h,65.0
friends,Tasks,#538135,Audio,tasks.audio.total_unique,h,65.0
friends,Tasks,#538135,Speech,tasks.speech_listening.total_unique,h,65.0
friends,Tasks,#538135,Text,tasks.text_reading.total_unique,h,
friends,Tasks,#538135,Rest,tasks.resting_state.total_h,h,
friends,Tasks,#538135,Controlled,tasks.controlled.total_h,h,
friends,Tasks,#538135,Games,tasks.game.total_h,h,
friends,Tasks,#538135,Contrasts,tasks.contrasts.total,#,
friends,Physiology,#7030A0,ECG,physiology.ecg.total_h,h,368.0
friends,Physiology,#7030A0,Resp.,physiology.respiration.total_h,h,368.0
friends,Physiology,#7030A0,PPG,physiology.plethysmograph.total_h,h,368.0
friends,Physiology,#7030A0,EDA,physiology.eda.total_h,h,368.0
friends,Physiology,#7030A0,Eye,physiology.eye_tracking.total_h,h,110.0
harrypotter,Neuroimaging,#4472C4,fMRI,neuroimaging.fmri.total_h,h,5.8
harrypotter,Neuroimaging,#4472C4,EEG,neuroimaging.eeg.total_h,h,
harrypotter,Neuroimaging,#4472C4,MEG,neuroimaging.meg.total_h,h,
harrypotter,Neuroimaging,#4472C4,iEEG,neuroimaging.ieeg.total_h,h,
harrypotter,Neuroimaging,#4472C4,Ca²⁺,neuroimaging.calcium_imaging.total_h,h,
harrypotter,Tasks,#538135,Images,tasks.images.total_unique,#img,
harrypotter,Tasks,#538135,Video,tasks.video.total_unique,h,
harrypotter,Tasks,#538135,Audio,tasks.audio.total_unique,h,
harrypotter,Tasks,#538135,Speech,tasks.speech_listening.total_unique,h,
harrypotter,Tasks,#538135,Text,tasks.text_reading.total_unique,h,1.17
harrypotter,Tasks,#538135,Rest,tasks.resting_state.total_h,h,
harrypotter,Tasks,#538135,Controlled,tasks.controlled.total_h,h,
harrypotter,Tasks,#538135,Games,tasks.game.total_h,h,
harrypotter,Tasks,#538135,Contrasts,tasks.contrasts.total,#,
harrypotter,Physiology,#7030A0,ECG,physiology.ecg.total_h,h,5.8
harrypotter,Physiology,#7030A0,Resp.,physiology.respiration.total_h,h,5.8
harrypotter,Physiology,#7030A0,PPG,physiology.plethysmograph.total_h,h,5.8
harrypotter,Physiology,#7030A0,EDA,physiology.eda.total_h,h,5.8
harrypotter,Physiology,#7030A0,Eye,physiology.eye_tracking.total_h,h,
hcptrt,Neuroimaging,#4472C4,fMRI,neuroimaging.fmri.total_h,h,54.6
hcptrt,Neuroimaging,#4472C4,EEG,neuroimaging.eeg.total_h,h,
hcptrt,Neuroimaging,#4472C4,MEG,neuroimaging.meg.total_h,h,
hcptrt,Neuroimaging,#4472C4,iEEG,neuroimaging.ieeg.total_h,h,
hcptrt,Neuroimaging,#4472C4,Ca²⁺,neuroimaging.calcium_imaging.total_h,h,
hcptrt,Tasks,#538135,Images,tasks.images.total_unique,#img,
hcptrt,Tasks,#538135,Video,tasks.video.total_unique,h,
hcptrt,Tasks,#538135,Audio,tasks.audio.total_unique,h,
hcptrt,Tasks,#538135,Speech,tasks.speech_listening.total_unique,h,
hcptrt,Tasks,#538135,Text,tasks.text_reading.total_unique,h,
hcptrt,Tasks,#538135,Rest,tasks.resting_state.total_h,h,7.5
hcptrt,Tasks,#538135,Controlled,tasks.controlled.total_h,h,47.1
hcptrt,Tasks,#538135,Games,tasks.game.total_h,h,
hcptrt,Tasks,#538135,Contrasts,tasks.contrasts.total,#,23.0
hcptrt,Physiology,#7030A0,ECG,physiology.ecg.total_h,h,
hcptrt,Physiology,#7030A0,Resp.,physiology.respiration.total_h,h,
hcptrt,Physiology,#7030A0,PPG,physiology.plethysmograph.total_h,h,
hcptrt,Physiology,#7030A0,EDA,physiology.eda.total_h,h,
hcptrt,Physiology,#7030A0,Eye,physiology.eye_tracking.total_h,h,
mario,Neuroimaging,#4472C4,fMRI,neuroimaging.fmri.total_h,h,84.0
mario,Neuroimaging,#4472C4,EEG,neuroimaging.eeg.total_h,h,
mario,Neuroimaging,#4472C4,MEG,neuroimaging.meg.total_h,h,
mario,Neuroimaging,#4472C4,iEEG,neuroimaging.ieeg.total_h,h,
mario,Neuroimaging,#4472C4,Ca²⁺,neuroimaging.calcium_imaging.total_h,h,
mario,Tasks,#538135,Images,tasks.images.total_unique,#img,
mario,Tasks,#538135,Video,tasks.video.total_unique,h,
mario,Tasks,#538135,Audio,tasks.audio.total_unique,h,
mario,Tasks,#538135,Speech,tasks.speech_listening.total_unique,h,
mario,Tasks,#538135,Text,tasks.text_reading.total_unique,h,
mario,Tasks,#538135,Rest,tasks.resting_state.total_h,h,
mario,Tasks,#538135,Controlled,tasks.controlled.total_h,h,
mario,Tasks,#538135,Games,tasks.game.total_h,h,84.0
mario,Tasks,#538135,Contrasts,tasks.contrasts.total,#,
mario,Physiology,#7030A0,ECG,physiology.ecg.total_h,h,84.0
mario,Physiology,#7030A0,Resp.,physiology.respiration.total_h,h,84.0
mario,Physiology,#7030A0,PPG,physiology.plethysmograph.total_h,h,84.0
mario,Physiology,#7030A0,EDA,physiology.eda.total_h,h,84.0
mario,Physiology,#7030A0,Eye,physiology.eye_tracking.total_h,h,
movie10,Neuroimaging,#4472C4,fMRI,neuroimaging.fmri.total_h,h,60.0
movie10,Neuroimaging,#4472C4,EEG,neuroimaging.eeg.total_h,h,
movie10,Neuroimaging,#4472C4,MEG,neuroimaging.meg.total_h,h,
movie10,Neuroimaging,#4472C4,iEEG,neuroimaging.ieeg.total_h,h,
movie10,Neuroimaging,#4472C4,Ca²⁺,neuroimaging.calcium_imaging.total_h,h,
movie10,Tasks,#538135,Images,tasks.images.total_unique,#img,
movie10,Tasks,#538135,Video,tasks.video.total_unique,h,7.3
movie10,Tasks,#538135,Audio,tasks.audio.total_unique,h,7.3
movie10,Tasks,#538135,Speech,tasks.speech_listening.total_unique,h,7.3
movie10,Tasks,#538135,Text,tasks.text_reading.total_unique,h,
movie10,Tasks,#538135,Rest,tasks.resting_state.total_h,h,
movie10,Tasks,#538135,Controlled,tasks.controlled.total_h,h,
movie10,Tasks,#538135,Games,tasks.game.total_h,h,
movie10,Tasks,#538135,Contrasts,tasks.contrasts.total,#,
movie10,Physiology,#7030A0,ECG,physiology.ecg.total_h,h,60.0
movie10,Physiology,#7030A0,Resp.,physiology.respiration.total_h,h,60.0
movie10,Physiology,#7030A0,PPG,physiology.plethysmograph.total_h,h,60.0
movie10,Physiology,#7030A0,EDA,physiology.eda.total_h,h,60.0
movie10,Physiology,#7030A0,Eye,physiology.eye_tracking.total_h,h,
shinobi,Neuroimaging,#4472C4,fMRI,neuroimaging.fmri.total_h,h,32.0
shinobi,Neuroimaging,#4472C4,EEG,neuroimaging.eeg.total_h,h,
shinobi,Neuroimaging,#4472C4,MEG,neuroimaging.meg.total_h,h,
shinobi,Neuroimaging,#4472C4,iEEG,neuroimaging.ieeg.total_h,h,
shinobi,Neuroimaging,#4472C4,Ca²⁺,neuroimaging.calcium_imaging.total_h,h,
shinobi,Tasks,#538135,Images,tasks.images.total_unique,#img,
shinobi,Tasks,#538135,Video,tasks.video.total_unique,h,
shinobi,Tasks,#538135,Audio,tasks.audio.total_unique,h,
shinobi,Tasks,#538135,Speech,tasks.speech_listening.total_unique,h,
shinobi,Tasks,#538135,Text,tasks.text_reading.total_unique,h,
shinobi,Tasks,#538135,Rest,tasks.resting_state.total_h,h,
shinobi,Tasks,#538135,Controlled,tasks.controlled.total_h,h,
shinobi,Tasks,#538135,Games,tasks.game.total_h,h,32.0
shinobi,Tasks,#538135,Contrasts,tasks.contrasts.total,#,
shinobi,Physiology,#7030A0,ECG,physiology.ecg.total_h,h,32.0
shinobi,Physiology,#7030A0,Resp.,physiology.respiration.total_h,h,32.0
shinobi,Physiology,#7030A0,PPG,physiology.plethysmograph.total_h,h,32.0
shinobi,Physiology,#7030A0,EDA,physiology.eda.total_h,h,32.0
shinobi,Physiology,#7030A0,Eye,physiology.eye_tracking.total_h,h,
things,Neuroimaging,#4472C4,fMRI,neuroimaging.fmri.total_h,h,65.5
things,Neuroimaging,#4472C4,EEG,neuroimaging.eeg.total_h,h,
things,Neuroimaging,#4472C4,MEG,neuroimaging.meg.total_h,h,
things,Neuroimaging,#4472C4,iEEG,neuroimaging.ieeg.total_h,h,
things,Neuroimaging,#4472C4,Ca²⁺,neuroimaging.calcium_imaging.total_h,h,
things,Tasks,#538135,Images,tasks.images.total_unique,#img,4320.0
things,Tasks,#538135,Video,tasks.video.total_unique,h,
things,Tasks,#538135,Audio,tasks.audio.total_unique,h,
things,Tasks,#538135,Speech,tasks.speech_listening.total_unique,h,
things,Tasks,#538135,Text,tasks.text_reading.total_unique,h,
things,Tasks,#538135,Rest,tasks.resting_state.total_h,h,
things,Tasks,#538135,Controlled,tasks.controlled.total_h,h,65.5
things,Tasks,#538135,Games,tasks.game.total_h,h,
things,Tasks,#538135,Contrasts,tasks.contrasts.total,#,1.0
things,Physiology,#7030A0,ECG,physiology.ecg.total_h,h,
things,Physiology,#7030A0,Resp.,physiology.respiration.total_h,h,
things,Physiology,#7030A0,PPG,physiology.plethysmograph.total_h,h,
things,Physiology,#7030A0,EDA,physiology.eda.total_h,h,
things,Physiology,#7030A0,Eye,physiology.eye_tracking.total_h,h,
