dataset,group,group_color,modality,dotpath,unit,value
UK Biobank,Passive,#538135,Text,passive.text_reading.total_unique,h,
UK Biobank,Passive,#538135,Rest,passive.resting_state.total_unique,h,9493.0
UK Biobank,Active,#C55A11,Controlled,active.controlled.total_unique,h,0.067
UK Biobank,Active,#C55A11,Games,active.game_actions.total_unique,h,
UK Biobank,Physiology,#7030A0,ECG,physiology.ecg.total_h,h,
UK Biobank,Physiology,#7030A0,Resp.,physiology.respiration.total_h,h,
UK Biobank,Physiology,#7030A0,PPG,physiology.plethysmograph.total_h,h,
UK Biobank,Physiology,#7030A0,EDA,physiology.eda.total_h,h,
UK Biobank,Physiology,#7030A0,Eye,physiology.eye_tracking.total_h,h,
CNeuroMod,Neuroimaging,#4472C4,fMRI,neuroimaging.fmri.total_h,h,548.1
CNeuroMod,Neuroimaging,#4472C4,EEG,neuroimaging.eeg.total_h,h,
CNeuroMod,Neuroimaging,#4472C4,MEG,neuroimaging.meg.total_h,h,
CNeuroMod,Neuroimaging,#4472C4,iEEG,neuroimaging.ieeg.total_h,h,
CNeuroMod,Passive,#538135,Images,passive.images.total_unique,#img,4320.0
CNeuroMod,Passive,#538135,Video,passive.video.total_unique,h,72.3
CNeuroMod,Passive,#538135,Audio,passive.audio.total_unique,h,
CNeuroMod,Passive,#538135,Speech,passive.speech_listening.total_unique,h,
CNeuroMod,Passive,#538135,Text,passive.text_reading.total_unique,h,
CNeuroMod,Passive,#538135,Rest,passive.resting_state.total_unique,h,1.25
CNeuroMod,Active,#C55A11,Controlled,active.controlled.total_unique,h,16.919999999999998
CNeuroMod,Active,#C55A11,Games,active.game_actions.total_unique,h,
CNeuroMod,Physiology,#7030A0,ECG,physiology.ecg.total_h,h,368.0
CNeuroMod,Physiology,#7030A0,Resp.,physiology.respiration.total_h,h,368.0
CNeuroMod,Physiology,#7030A0,PPG,physiology.plethysmograph.total_h,h,368.0
CNeuroMod,Physiology,#7030A0,EDA,physiology.eda.total_h,h,368.0
CNeuroMod,Physiology,#7030A0,Eye,physiology.eye_tracking.total_h,h,110.0
