dataset,group,group_color,modality,dotpath,unit,value
IBC,Tasks,#538135,Controlled,tasks.controlled.per_subject_h,h,33.2
IBC,Tasks,#538135,Games,tasks.game.per_subject_h,h,
IBC,Tasks,#538135,Contrasts,tasks.contrasts.per_subject,#,530.0
IBC,Physiology,#7030A0,ECG,physiology.ecg.per_subject_h,h,
IBC,Physiology,#7030A0,Resp.,physiology.respiration.per_subject_h,h,
IBC,Physiology,#7030A0,PPG,physiology.plethysmograph.per_subject_h,h,
IBC,Physiology,#7030A0,EDA,physiology.eda.per_subject_h,h,
IBC,Physiology,#7030A0,Eye,physiology.eye_tracking.per_subject_h,h,
iEEG-fMRI film,Brain recordings,#4472C4,fMRI,neuroimaging.fmri.per_subject_h,h,0.05
iEEG-fMRI film,Brain recordings,#4472C4,EEG,neuroimaging.eeg.per_subject_h,h,
iEEG-fMRI film,Brain recordings,#4472C4,MEG,neuroimaging.meg.per_subject_h,h,
iEEG-fMRI film,Brain recordings,#4472C4,iEEG,neuroimaging.ieeg.per_subject_h,h,0.13
iEEG-fMRI film,Brain recordings,#4472C4,Ca²⁺,neuroimaging.calcium_imaging.per_subject_h,h,
iEEG-fMRI film,Tasks,#538135,Images,tasks.images.per_subject_unique,#img,
iEEG-fMRI film,Tasks,#538135,Video,tasks.video.per_subject_unique,h,0.11
iEEG-fMRI film,Tasks,#538135,Audio,tasks.audio.per_subject_unique,h,0.11
iEEG-fMRI film,Tasks,#538135,Speech,tasks.speech_listening.per_subject_unique,h,0.11
iEEG-fMRI film,Tasks,#538135,Text,tasks.text_reading.per_subject_unique,h,
iEEG-fMRI film,Tasks,#538135,Rest,tasks.resting_state.per_subject_h,h,0.04
iEEG-fMRI film,Tasks,#538135,Controlled,tasks.controlled.per_subject_h,h,
iEEG-fMRI film,Tasks,#538135,Games,tasks.game.per_subject_h,h,
iEEG-fMRI film,Tasks,#538135,Contrasts,tasks.contrasts.per_subject,#,
iEEG-fMRI film,Physiology,#7030A0,ECG,physiology.ecg.per_subject_h,h,
iEEG-fMRI film,Physiology,#7030A0,Resp.,physiology.respiration.per_subject_h,h,
iEEG-fMRI film,Physiology,#7030A0,PPG,physiology.plethysmograph.per_subject_h,h,
iEEG-fMRI film,Physiology,#7030A0,EDA,physiology.eda.per_subject_h,h,
iEEG-fMRI film,Physiology,#7030A0,Eye,physiology.eye_tracking.per_subject_h,h,
Narratives,Brain recordings,#4472C4,fMRI,neuroimaging.fmri.per_subject_h,h,0.45
Narratives,Brain recordings,#4472C4,EEG,neuroimaging.eeg.per_subject_h,h,
Narratives,Brain recordings,#4472C4,MEG,neuroimaging.meg.per_subject_h,h,
Narratives,Brain recordings,#4472C4,iEEG,neuroimaging.ieeg.per_subject_h,h,
Narratives,Brain recordings,#4472C4,Ca²⁺,neuroimaging.calcium_imaging.per_subject_h,h,
Narratives,Tasks,#538135,Images,tasks.images.per_subject_unique,#img,
Narratives,Tasks,#538135,Video,tasks.video.per_subject_unique,h,
Narratives,Tasks,#538135,Audio,tasks.audio.per_subject_unique,h,
Narratives,Tasks,#538135,Speech,tasks.speech_listening.per_subject_unique,h,0.45
Narratives,Tasks,#538135,Text,tasks.text_reading.per_subject_unique,h,
Narratives,Tasks,#538135,Rest,tasks.resting_state.per_subject_h,h,
Narratives,Tasks,#538135,Controlled,tasks.controlled.per_subject_h,h,
Narratives,Tasks,#538135,Games,tasks.game.per_subject_h,h,
Narratives,Tasks,#538135,Contrasts,tasks.contrasts.per_subject,#,
Narratives,Physiology,#7030A0,ECG,physiology.ecg.per_subject_h,h,
Narratives,Physiology,#7030A0,Resp.,physiology.respiration.per_subject_h,h,
Narratives,Physiology,#7030A0,PPG,physiology.plethysmograph.per_subject_h,h,
Narratives,Physiology,#7030A0,EDA,physiology.eda.per_subject_h,h,
Narratives,Physiology,#7030A0,Eye,physiology.eye_tracking.per_subject_h,h,
NL-fMRI,Brain recordings,#4472C4,fMRI,neuroimaging.fmri.per_subject_h,h,10.1
NL-fMRI,Brain recordings,#4472C4,EEG,neuroimaging.eeg.per_subject_h,h,
NL-fMRI,Brain recordings,#4472C4,MEG,neuroimaging.meg.per_subject_h,h,
NL-fMRI,Brain recordings,#4472C4,iEEG,neuroimaging.ieeg.per_subject_h,h,
NL-fMRI,Brain recordings,#4472C4,Ca²⁺,neuroimaging.calcium_imaging.per_subject_h,h,
