dataset,group,group_color,modality,dotpath,unit,value
floc,Brain recordings,#4472C4,fMRI,neuroimaging.fmri.per_subject_h,h,0.77
floc,Brain recordings,#4472C4,EEG,neuroimaging.eeg.per_subject_h,h,
floc,Brain recordings,#4472C4,MEG,neuroimaging.meg.per_subject_h,h,
floc,Brain recordings,#4472C4,iEEG,neuroimaging.ieeg.per_subject_h,h,
floc,Brain recordings,#4472C4,Ca²⁺,neuroimaging.calcium_imaging.per_subject_h,h,
floc,Tasks,#538135,Images,tasks.images.per_subject_unique,#img,
floc,Tasks,#538135,Video,tasks.video.per_subject_unique,h,
floc,Tasks,#538135,Audio,tasks.audio.per_subject_unique,h,
floc,Tasks,#538135,Speech,tasks.speech_listening.per_subject_unique,h,
floc,Tasks,#538135,Text,tasks.text_reading.per_subject_unique,h,
floc,Tasks,#538135,Rest,tasks.resting_state.per_subject_h,h,
floc,Tasks,#538135,Controlled,tasks.controlled.per_subject_h,h,0.77
floc,Tasks,#538135,Games,tasks.game.per_subject_h,h,
floc,Tasks,#538135,Contrasts,tasks.contrasts.per_subject,#,9.0
floc,Physiology,#7030A0,ECG,physiology.ecg.per_subject_h,h,
floc,Physiology,#7030A0,Resp.,physiology.respiration.per_subject_h,h,
floc,Physiology,#7030A0,PPG,physiology.plethysmograph.per_subject_h,h,
floc,Physiology,#7030A0,EDA,physiology.eda.per_subject_h,h,
floc,Physiology,#7030A0,Eye,physiology.eye_tracking.per_subject_h,h,
friends,Brain recordings,#4472C4,fMRI,neuroimaging.fmri.per_subject_h,h,65.0
friends,Brain recordings,#4472C4,EEG,neuroimaging.eeg.per_subject_h,h,
friends,Brain recordings,#4472C4,MEG,neuroimaging.meg.per_subject_h,h,
friends,Brain recordings,#4472C4,iEEG,neuroimaging.ieeg.per_subject_h,h,
friends,Brain recordings,#4472C4,Ca²⁺,neuroimaging.calcium_imaging.per_subject_h,h,
friends,Tasks,#538135,Images,tasks.images.per_subject_unique,#img,
friends,Tasks,#538135,Video,tasks.video.per_subject_unique,h,65.0
friends,Tasks,#538135,Audio,tasks.audio.per_subject_unique,h,65.0
friends,Tasks,#538135,Speech,tasks.speech_listening.per_subject_unique,h,65.0
friends,Tasks,#538135,Text,tasks.text_reading.per_subject_unique,h,
friends,Tasks,#538135,Rest,tasks.resting_state.per_subject_h,h,
friends,Tasks,#538135,Controlled,tasks.controlled.per_subject_h,h,
friends,Tasks,#538135,Games,tasks.game.per_subject_h,h,
friends,Tasks,#538135,Contrasts,tasks.contrasts.per_subject,#,
friends,Physiology,#7030A0,ECG,physiology.ecg.per_subject_h,h,65.0
friends,Physiology,#7030A0,Resp.,physiology.respiration.per_subject_h,h,65.0
friends,Physiology,#7030A0,PPG,physiology.plethysmograph.per_subject_h,h,65.0
friends,Physiology,#7030A0,EDA,physiology.eda.per_subject_h,h,65.0
friends,Physiology,#7030A0,Eye,physiology.eye_tracking.per_subject_h,h,22.0
gamepad,Brain recordings,#4472C4,fMRI,neuroimaging.fmri.per_subject_h,h,0.67
gamepad,Brain recordings,#4472C4,EEG,neuroimaging.eeg.per_subject_h,h,
gamepad,Brain recordings,#4472C4,MEG,neuroimaging.meg.per_subject_h,h,
gamepad,Brain recordings,#4472C4,iEEG,neuroimaging.ieeg.per_subject_h,h,
gamepad,Brain recordings,#4472C4,Ca²⁺,neuroimaging.calcium_imaging.per_subject_h,h,
gamepad,Tasks,#538135,Images,tasks.images.per_subject_unique,#img,
gamepad,Tasks,#538135,Video,tasks.video.per_subject_unique,h,
gamepad,Tasks,#538135,Audio,tasks.audio.per_subject_unique,h,
gamepad,Tasks,#538135,Speech,tasks.speech_listening.per_subject_unique,h,
gamepad,Tasks,#538135,Text,tasks.text_reading.per_subject_unique,h,
gamepad,Tasks,#538135,Rest,tasks.resting_state.per_subject_h,h,
gamepad,Tasks,#538135,Controlled,tasks.controlled.per_subject_h,h,0.67
gamepad,Tasks,#538135,Games,tasks.game.per_subject_h,h,
gamepad,Tasks,#538135,Contrasts,tasks.contrasts.per_subject,#,
gamepad,Physiology,#7030A0,ECG,physiology.ecg.per_subject_h,h,
gamepad,Physiology,#7030A0,Resp.,physiology.respiration.per_subject_h,h,
gamepad,Physiology,#7030A0,PPG,physiology.plethysmograph.per_subject_h,h,
gamepad,Physiology,#7030A0,EDA,physiology.eda.per_subject_h,h,
gamepad,Physiology,#7030A0,Eye,physiology.eye_tracking.per_subject_h,h,
harrypotter,Brain recordings,#4472C4,fMRI,neuroimaging.fmri.per_subject_h,h,1.17
harrypotter,Brain recordings,#4472C4,EEG,neuroimaging.eeg.per_subject_h,h,
harrypotter,Brain recordings,#4472C4,MEG,neuroimaging.meg.per_subject_h,h,
harrypotter,Brain recordings,#4472C4,iEEG,neuroimaging.ieeg.per_subject_h,h,
harrypotter,Brain recordings,#4472C4,Ca²⁺,neuroimaging.calcium_imaging.per_subject_h,h,
harrypotter,Tasks,#538135,Images,tasks.images.per_subject_unique,#img,
harrypotter,Tasks,#538135,Video,tasks.video.per_subject_unique,h,
